mal_id,titles,type,genre_1,genre_2,source,studios,episodes,rating,score,audicence_rank,scored_by,rank,members,favorites,synopsis,airing,genres,year,season,status
1550,Attack No.1,TV,Drama,Sports,Manga,Tokyo Movie Shinsha,104.0,PG-13 - Teens 13 or older,7.07,6406,4117.0,4124.0,9979,72,"Kozue is a middleschool girl and enthusiastic volleyball player. Her dream is to play in the Japanese national volleyball team. During the series she makes it from the school district league up to the Japanese volleyball finals, step by step till the international volleyball championship. But the faster and higher Kozue climbs the career ladder up, the more she gets confronted with the dark side of success: too high expectations, self-conceit and envy are progressing towards serious problems.

(Source: ANN)",False,"[{'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 30, 'type': 'anime', 'name': 'Sports', 'url': 'https://myanimelist.net/anime/genre/30/Sports'}]",1970.0,winter,Finished Airing
2406,Sazae-san,TV,Comedy,Slice of Life,4-koma manga,Eiken,,G - All Ages,6.14,6890,1869.0,9126.0,8403,38,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",True,"[{'mal_id': 4, 'type': 'anime', 'name': 'Comedy', 'url': 'https://myanimelist.net/anime/genre/4/Comedy'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",1969.0,fall,Currently Airing
9895,The Bathroom,Movie,Avant Garde,Comedy,Original,Kuri Jikken Manga Koubou,1.0,R - 17+ (violence & profanity),4.22,11636,1003.0,13223.0,1779,0,A surrealistic short from minimalist cartoonist Kuri Yoji.,,,,,
9163,Attack No.1 (1970),Movie,Drama,Sports,Unknown,,1.0,PG-13 - Teens 13 or older,6.39,12299,444.0,7795.0,1410,3,"The first recap film of Attack No.1 , it covers the first 6 episodes of the TV anime.

Kozue is a high school girl and an enthusiastic volleyball player. Her dream is to play on the Japanese national volleyball team. Over the course of the series she makes it from the school district league up to the Japanese volleyball finals, step by step until the international volleyball championship. But the faster and higher Kozue climbs, the more she is confronted with the dark side of success: too-high expectations, self-conceit, and envy.

(Source: ANN)",,,,,
7259,Kenju Giga,Movie,,,Original,,1.0,PG-13 - Teens 13 or older,4.92,12805,595.0,12800.0,1206,0,"A dog race is interrupted by a ringmaster, who attaches fish to the dog’s collars and makes them run in circles. The crowd is incensed, but the ringmaster insists that the audience is no better off than the dogs. In the end the ringmaster is assassinated and the race continues, but a single red rose sprouts from the ringmaster’s blood; a symbol of truth in a crazy world? 

-AniDB",False,[],,,Finished Airing
2830,Chibikko Remi to Meiken Kapi,Movie,Adventure,Drama,Novel,Toei Animation,1.0,G - All Ages,5.9,13050,334.0,10228.0,1125,1,"Based on Sans Famille by Hector Malot.

This is a faithful if compressed adaptation, telling the story of Remi who is sold off to Vitalis the travelling musician and his band of performing animals. It has musical numbers typical this era of Toei films, some awkward slapstic, plenty of scenes tailored to pull on the heartstrings, and very smooth animation. Overall a pleasant film that's interesting to watch for the technical aspects; but the story leaves much to be desired, being on the melodramatic-maudlin side. The later Dezaki/Sugino version is very different, with 52 episodes for the story to breathe in and far more compelling storytelling.

(Source: AniDB)",False,"[{'mal_id': 2, 'type': 'anime', 'name': 'Adventure', 'url': 'https://myanimelist.net/anime/genre/2/Adventure'}, {'mal_id': 8, 'type': 'anime', 'name': 'Drama', 'url': 'https://myanimelist.net/anime/genre/8/Drama'}, {'mal_id': 36, 'type': 'anime', 'name': 'Slice of Life', 'url': 'https://myanimelist.net/anime/genre/36/Slice_of_Life'}]",,,Finished Airing
18061,Tiger Mask (Movie),Movie,Sports,,Manga,,1.0,PG-13 - Teens 13 or older,6.27,13087,290.0,8521.0,1113,1,Re-edit of Episode 9&amp;10.,,,,,
12789,Yasashii Lion,Movie,Award Winning,Fantasy,Picture book,,1.0,G - All Ages,5.5,13414,464.0,11733.0,1012,1,"This is an animated version of Yanase Takashi's picture book featuring the friendship between a mother dog, Muku-muku, who lost her puppy, and the baby lion Buru-buru, who lost her mother. Although Tezuka Osamu planned to create an entire musical animated series for this story focused on the feelings of the mother dog and baby lion, this animated production was the only one never completed. 

(Source: Official Tezuka site)",,,,,
13089,Hana to Mogura,Movie,Award Winning,Comedy,Original,,1.0,G - All Ages,5.52,14906,312.0,11670.0,659,0,"Hanako-chan, a flower loving person, encounters a mole in her garden and wonders what would happen if the moles could be trained to assist in gardening. Then her idea goes with the wind... 

(Source: AniDB)",,,,,
17445,Kyojin no Hoshi: Dai League Ball,Movie,Drama,Sports,Unknown,,1.0,G - All Ages,,15473,,18507.0,570,0,Third Kyojin no Hoshi movie.,,,,,
