titulo,año,generos,rating
Sousou no Frieren,2023,"Adventure, Drama, Fantasy",9.29
Fullmetal Alchemist: Brotherhood,2009,"Action, Adventure, Drama, Fantasy",9.10
Steins;Gate,2011,"Drama, Sci-Fi, Suspense",9.07
Shingeki no Kyojin Season 3 Part 2,2019,"Action, Drama, Suspense",9.05
Gintama: The Final,2021,"Action, Comedy, Drama, Sci-Fi",9.05
Gintama°,2015,"Action, Comedy, Sci-Fi",9.05
Hunter x Hunter (2011),2011,"Action, Adventure, Fantasy",9.03
One Piece Fan Letter,2024,"Action, Adventure, Fantasy",9.03
Chainsaw Man Movie: Reze-hen,2025,"Action, Fantasy",9.02
Ginga Eiyuu Densetsu,1988,"Drama, Sci-Fi",9.02
Gintama',2011,"Action, Comedy, Sci-Fi",9.02
Gintama': Enchousen,2012,"Action, Comedy, Sci-Fi",9.02
Bleach: Sennen Kessen-hen,2022,"Action, Adventure, Supernatural",8.99
Gintama.,2017,"Action, Comedy, Sci-Fi",8.98
Kaguya-sama wa Kokurasetai: Ultra Romantic,2022,"Comedy, Romance",8.97
Fruits Basket: The Final,2021,"Drama, Romance, Supernatural",8.94
Clannad: After Story,2008,"Drama, Romance",8.93
Gintama,2006,"Action, Comedy, Sci-Fi",8.93
Koe no Katachi,2016,"Award Winning, Drama",8.93
Kusuriya no Hitorigoto 2nd Season,2025,"Drama, Mystery",8.91
Code Geass: Hangyaku no Lelouch R2,2008,"Award Winning, Drama, Sci-Fi",8.91
3-gatsu no Lion 2nd Season,2017,,8.90
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,2013,"Action, Comedy, Sci-Fi",8.90
Monster,2004,"Drama, Mystery, Suspense",8.89
Kingdom 6th Season,2025,,8.88
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,2018,"Action, Comedy, Sci-Fi",8.88
Kusuriya no Hitorigoto,2023,"Drama, Mystery",8.86
Owarimonogatari 2nd Season,2017,"Comedy, Mystery, Supernatural",8.86
Shingeki no Kyojin: The Final Season - Kanketsu-hen,2023,"Action, Drama, Suspense",8.86
Violet Evergarden Movie,2020,"Award Winning, Drama",8.84
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,2024,"Action, Drama, Suspense",8.83
Kimi no Na wa.,2016,"Award Winning, Drama",8.83
Kingdom 3rd Season,2020,,8.83
Vinland Saga Season 2,2023,"Action, Adventure, Drama",8.82
Takopii no Genzai,2025,"Drama, Sci-Fi",8.81
Gintama. Shirogane no Tamashii-hen,2018,"Action, Comedy, Sci-Fi",8.81
Hajime no Ippo,2000,,8.78
Shingeki no Kyojin: The Final Season,2020,"Action, Drama, Suspense",8.78
Kizumonogatari III: Reiketsu-hen,2017,"Action, Mystery, Supernatural",8.78
Mob Psycho 100 II,2019,"Action, Comedy, Supernatural",8.78
Ashita no Joe 2,1980,"Drama, Sports",8.77
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,2016,,8.77
Sen to Chihiro no Kamikakushi,2001,"Adventure, Award Winning, Fantasy",8.77
Shingeki no Kyojin: The Final Season Part 2,2022,"Action, Drama, Suspense",8.77
Vinland Saga,2019,"Action, Adventure, Drama",8.77
Monogatari Series: Second Season,2013,"Comedy, Mystery, Romance, Supernatural",8.76
Cowboy Bebop,1998,"Action, Award Winning, Sci-Fi",8.75
Bocchi the Rock!,2022,,8.74
Tu Bian Yingxiong X,2025,,8.73
Jujutsu Kaisen 2nd Season,2023,"Action, Supernatural",8.73
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,2022,"Comedy, Drama, Romance",8.73
Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,2025,"Action, Supernatural",8.73
Kingdom 4th Season,2022,,8.73
One Piece,1999,"Action, Adventure, Fantasy",8.73
Kingdom 5th Season,2024,,8.72
Mushishi Zoku Shou 2nd Season,2014,"Adventure, Mystery, Slice of Life, Supernatural",8.72
86 Part 2,2021,"Drama, Sci-Fi",8.72
Boku no Kokoro no Yabai Yatsu 2nd Season,2024,"Comedy, Romance",8.72
Hibike! Euphonium 3,2024,,8.72
Shiguang Dailiren,2021,"Drama, Mystery, Suspense",8.72
The First Slam Dunk,2022,"Award Winning, Sports",8.71
Kimetsu no Yaiba: Yuukaku-hen,2021,"Action, Supernatural",8.71
Mob Psycho 100 III,2022,"Action, Comedy, Supernatural",8.71
Code Geass: Hangyaku no Lelouch,2006,"Award Winning, Drama, Sci-Fi",8.71
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,2023,"Action, Adventure, Supernatural",8.70
Boku no Hero Academia: Final Season,2025,,8.70
Chi. Chikyuu no Undou ni Tsuite,2024,,8.70
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,2017,,8.70
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,1999,"Action, Drama, Romance",8.69
Violet Evergarden,2018,,8.69
Kaoru Hana wa Rin to Saku,2025,"Drama, Romance",8.69
Mo Dao Zu Shi: Wanjie Pian,2021,"Action, Adventure, Drama, Fantasy, Mystery",8.68
Mushishi Zoku Shou,2014,"Adventure, Mystery, Slice of Life, Supernatural",8.68
Great Teacher Onizuka,1999,,8.68
Bleach: Sennen Kessen-hen - Soukoku-tan,2024,"Action, Adventure, Supernatural",8.67
Hajime no Ippo: New Challenger,2009,,8.67
Howl no Ugoku Shiro,2004,"Adventure, Award Winning, Drama, Fantasy, Romance",8.67
Mononoke Hime,1997,"Action, Adventure, Award Winning, Fantasy",8.67
Monogatari Series: Off & Monster Season,2024,"Comedy, Mystery, Supernatural",8.65
Mushishi,2005,"Adventure, Mystery, Slice of Life, Supernatural",8.65
Guimi Zhi Zhu: Xiaochou Pian,2025,"Action, Fantasy, Mystery, Suspense",8.65
Tian Guan Cifu Er,2023,"Action, Adventure, Drama, Fantasy",8.65
Shigatsu wa Kimi no Uso,2014,"Drama, Romance",8.64
Shiguang Dailiren II,2023,"Drama, Mystery, Suspense",8.64
Shingeki no Kyojin Season 3,2018,"Action, Drama, Suspense",8.64
Tengen Toppa Gurren Lagann,2007,"Adventure, Award Winning, Sci-Fi",8.64
Uma Musume: Pretty Derby - Shin Jidai no Tobira,2024,,8.64
Odd Taxi,2021,"Award Winning, Drama, Mystery, Suspense",8.64
Fate/stay night Movie: Heaven's Feel - III. Spring Song,2020,"Action, Fantasy",8.64
Look Back,2024,,8.63
Made in Abyss,2017,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",8.63
Natsume Yuujinchou Shi,2012,"Slice of Life, Supernatural",8.63
Ore dake Level Up na Ken Season 2: Arise from the Shadow,2025,"Action, Adventure, Fantasy",8.63
Ping Pong the Animation,2014,"Award Winning, Drama, Sports",8.63
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,2020,"Comedy, Romance",8.62
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,2021,"Adventure, Drama, Fantasy, Ecchi",8.62
Cyberpunk: Edgerunners,2022,"Action, Sci-Fi",8.62
Death Note,2006,"Supernatural, Suspense",8.62
Haikyuu!! Second Season,2015,,8.62
Bungou Stray Dogs 5th Season,2023,"Action, Mystery",8.61
Haikyuu!! Movie: Gomisuteba no Kessen,2024,,8.61
Hajime no Ippo: Rising,2013,,8.61
Natsume Yuujinchou Roku,2017,"Slice of Life, Supernatural",8.61
Kenpuu Denki Berserk,1997,"Action, Adventure, Drama, Fantasy, Horror",8.60
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,2020,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",8.60
Made in Abyss: Retsujitsu no Ougonkyou,2022,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",8.60
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,2009,,8.60
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,2019,"Drama, Romance, Supernatural",8.59
Suzumiya Haruhi no Shoushitsu,2010,"Award Winning, Mystery, Sci-Fi, Supernatural",8.59
Dungeon Meshi,2024,"Adventure, Comedy, Fantasy, Gourmet",8.59
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,2018,"Action, Adventure",8.58
Mushishi Zoku Shou: Suzu no Shizuku,2015,"Adventure, Mystery, Slice of Life, Supernatural",8.58
Natsume Yuujinchou Shichi,2024,"Slice of Life, Supernatural",8.58
Shin Evangelion Movie:||,2021,"Award Winning, Drama, Sci-Fi, Suspense",8.58
Nana,2006,"Drama, Romance",8.57
Kizumonogatari II: Nekketsu-hen,2016,"Action, Mystery, Supernatural",8.56
Natsume Yuujinchou Go,2016,"Slice of Life, Supernatural",8.56
Natsume Yuujinchou San,2011,"Slice of Life, Supernatural",8.56
Ookami Kodomo no Ame to Yuki,2012,"Award Winning, Slice of Life, Supernatural",8.56
Doupo Cangqiong: San Nian Zhi Yue,2021,"Action, Fantasy",8.56
Haikyuu!! To the Top Part 2,2020,,8.56
Shingeki no Kyojin,2013,"Action, Award Winning, Drama, Suspense",8.56
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",1997,"Avant Garde, Drama, Sci-Fi, Suspense",8.56
Uma Musume: Cinderella Gray,2025,"Drama, Sports",8.56
[Oshi no Ko],2023,"Award Winning, Drama",8.56
Shouwa Genroku Rakugo Shinjuu,2016,,8.55
Slam Dunk,1993,,8.55
Steins;Gate 0,2018,"Drama, Sci-Fi, Suspense",8.55
Yojouhan Shinwa Taikei,2010,"Award Winning, Comedy, Mystery, Romance, Suspense",8.55
Kimetsu no Yaiba Movie: Mugen Ressha-hen,2020,"Action, Supernatural",8.55
Kimi no Suizou wo Tabetai,2018,"Drama, Romance",8.55
Perfect Blue,1998,"Avant Garde, Award Winning, Drama, Horror, Suspense",8.55
[Oshi no Ko] 2nd Season,2024,,8.54
Fate/Zero 2nd Season,2012,"Action, Fantasy",8.54
Fruits Basket 2nd Season,2020,"Drama, Romance, Supernatural",8.53
Hotaru no Haka,1988,,8.53
Jujutsu Kaisen,2020,"Action, Award Winning, Supernatural",8.53
Shingeki no Kyojin Season 2,2017,"Action, Drama, Suspense",8.53
Zoku Natsume Yuujinchou,2009,"Slice of Life, Supernatural",8.53
Samurai Champloo,2004,"Action, Adventure, Comedy",8.52
Bakuman. 3rd Season,2012,"Comedy, Drama, Romance",8.52
Dr. Stone: Science Future Part 2,2025,"Adventure, Comedy, Sci-Fi",8.52
Gintama Movie 1: Shinyaku Benizakura-hen,2010,"Action, Comedy, Sci-Fi",8.52
Mushishi: Hihamukage,2014,"Adventure, Mystery, Slice of Life, Supernatural",8.52
Nezha Zhi Mo Tong Nao Hai,2025,"Action, Comedy, Drama, Fantasy",8.52
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,2022,"Action, Adventure",8.51
Kara no Kyoukai Movie 5: Mujun Rasen,2008,"Action, Drama, Fantasy, Mystery, Romance, Suspense",8.51
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,2004,"Mystery, Sci-Fi",8.51
Gintama. Porori-hen,2017,"Action, Comedy, Sci-Fi",8.51
Grand Blue Season 2,2025,,8.51
Shoujo☆Kageki Revue Starlight Movie,2021,,8.50
Sora yori mo Tooi Basho,2018,"Adventure, Comedy, Drama",8.50
Yuru Camp△ Season 2,2021,,8.50
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,2016,"Action, Adventure",8.50
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,2013,"Award Winning, Drama, Suspense",8.50
Mob Psycho 100,2016,"Action, Comedy, Supernatural",8.49
Ousama Ranking,2021,"Adventure, Fantasy",8.49
Tian Guan Cifu Special,2021,"Action, Adventure, Drama, Fantasy",8.49
Uchuu Kyoudai,2012,,8.48
Yakusoku no Neverland,2019,"Mystery, Suspense",8.48
Dandadan 2nd Season,2025,"Action, Comedy, Supernatural",8.48
One Punch Man,2015,"Action, Comedy",8.48
Nichijou,2011,,8.47
Summertime Render,2022,"Mystery, Supernatural, Suspense",8.47
Ansatsu Kyoushitsu 2nd Season,2016,"Action, Comedy",8.47
Aria the Origination,2008,"Sci-Fi, Slice of Life",8.47
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,2019,"Action, Fantasy",8.47
Given Movie 3: Umi e,2024,"Boys Love, Drama",8.47
Dandadan,2024,"Action, Comedy, Supernatural",8.46
Gintama: The Semi-Final,2021,"Action, Comedy",8.46
Mo Dao Zu Shi,2018,"Action, Adventure, Drama, Fantasy, Mystery",8.46
Mo Dao Zu Shi: Xian Yun Pian,2019,"Action, Adventure, Drama, Fantasy, Mystery",8.46
Rainbow: Nisha Rokubou no Shichinin,2010,"Drama, Suspense",8.46
Tian Guan Cifu Short Film,2025,"Action, Adventure, Drama, Fantasy",8.46
Yuu☆Yuu☆Hakusho,1992,"Action, Supernatural",8.46
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,2013,"Drama, Sci-Fi",8.45
Banana Fish,2018,"Action, Adventure, Drama, Suspense",8.45
Chihayafuru 3,2019,"Drama, Sports",8.45
Grand Blue,2018,,8.45
Kimi ni Todoke 3rd Season,2024,"Drama, Romance",8.45
Owarimonogatari,2015,"Comedy, Mystery, Supernatural",8.45
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,2015,"Action, Adventure",8.44
Pluto,2023,"Action, Mystery, Sci-Fi, Suspense",8.44
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,2024,"Drama, Fantasy, Suspense",8.44
Spy x Family,2022,"Action, Award Winning, Comedy",8.44
Chainsaw Man,2022,"Action, Fantasy",8.44
Doupo Cangqiong: Nian Fan,2022,"Action, Adventure, Fantasy",8.44
Golden Kamuy 3rd Season,2020,"Action, Adventure",8.43
Haikyuu!!,2014,,8.43
Hunter x Hunter,1999,"Action, Adventure, Fantasy",8.43
Zoku Owarimonogatari,2019,"Comedy, Mystery, Supernatural",8.43
Shingeki no Kyojin: Kuinaki Sentaku,2014,,8.42
Tian Guan Cifu,2020,"Action, Adventure, Drama, Fantasy",8.42
Uma Musume: Cinderella Gray Part 2,2025,"Drama, Sports",8.42
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,2019,,8.42
Wu Liuqi: Xuanwu Guo Pian,2021,"Action, Adventure, Comedy, Drama, Mystery",8.42
